Year,AID,MigratoryStrategy,SpringMS,SpringMSDate,SpringMSTime,SpringME,SpringMEDate,SpringMETime,FallMS,FallMSDate,FallMSTime,FallME,FallMEDate,FallMETime,Notes
2017,316,Long,4/17/2017 5:00,4/17/2017,5:00:00,5/11/2017 13:00,5/11/2017,13:00:00,10/9/2017 1:00,10/9/2017,1:00:00,11/11/2017 15:00,11/11/2017,15:00:00,
2017,317,Long,4/13/2017 1:00,4/13/2017,1:00:00,5/15/2017 17:00,5/15/2017,17:00:00,10/21/2017 1:00,10/21/2017,1:00:00,12/22/2017 17:00,12/22/2017,17:00:00,Remained in the Prospects for the 2017-18 winter
2017,318,Medium,5/11/2017 1:00,5/11/2017,1:00:00,5/13/2017 7:00,5/13/2017,7:00:00,10/11/2017 7:00,10/11/2017,7:00:00,10/12/2017 15:00,10/12/2017,15:00:00,
2017,319,Long,4/22/2017 21:00,4/22/2017,21:00:00,6/6/2017 9:00,6/6/2017,9:00:00,10/4/2017 1:00,10/4/2017,1:00:00,11/25/2017 21:00,11/25/2017,21:00:00,
2017,320,Long,4/26/2017 17:00,4/26/2017,17:00:00,8/5/2017 9:00,8/5/2017,9:00:00,10/29/2017 5:00,10/29/2017,5:00:00,11/11/2017 9:00,11/11/2017,9:00:00,Spent the winter near Dubois and then died on 11/29/2017
2017,321,Long,4/26/2017 9:00,4/26/2017,9:00:00,5/14/2017 21:00,5/14/2017,21:00:00,10/15/2017 9:00,10/15/2017,9:00:00,10/24/2017 9:00,10/24/2017,9:00:00,Remained in the Prospects for the 2017-18 winter
2017,322,Short,5/1/2017 3:00,5/1/2017,3:00:00,5/3/2017 1:00,5/3/2017,1:00:00,10/10/2017 5:00,10/10/2017,5:00:00,10/12/2017 19:00,10/12/2017,19:00:00,
2017,323,Long,3/24/2017 7:00,3/24/2017,7:00:00,6/6/2017 9:00,6/6/2017,9:00:00,11/3/2017 1:00,11/3/2017,1:00:00,12/30/2017 9:00,12/30/2017,9:00:00,
2017,324,Long,5/2/2017 21:00,5/2/2017,21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 7/7/2017
2017,325,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 3/15/2017
2017,326,Medium,5/4/2017 23:00,5/4/2017,23:00:00,5/10/2017 11:00,5/10/2017,11:00:00,10/3/2017 13:00,10/3/2017,13:00:00,10/6/2017 17:00,10/6/2017,17:00:00,
2017,327,Long,3/22/2017 5:00,3/22/2017,5:00:00,6/25/2017 17:00,6/25/2017,17:00:00,9/18/2017 5:00,9/18/2017,5:00:00,12/15/2017 17:00,12/15/2017,17:00:00,
2017,328,Medium,5/1/2017 3:00,5/1/2017,3:00:00,5/7/2017 11:00,5/7/2017,11:00:00,11/24/2017 11:00,11/24/2017,11:00:00,11/28/2017 13:00,11/28/2017,13:00:00,
2017,329,Short,4/17/2017 9:00,4/17/2017,9:00:00,5/13/2017 23:00,5/13/2017,23:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Spent the winter on White Mountain
2017,330,Long,4/30/2017 5:00,4/30/2017,5:00:00,6/15/2017 19:00,6/15/2017,19:00:00,10/31/2017 1:00,10/31/2017,1:00:00,1/19/2018 1:00,1/19/2018,1:00:00,
2017,331,Long,3/16/2017 3:00,3/16/2017,3:00:00,5/11/2017 21:00,5/11/2017,21:00:00,10/14/2017 21:00,10/14/2017,21:00:00,11/6/2017 15:00,11/6/2017,15:00:00,
2017,332,Long,3/22/2017 9:00,3/22/2017,9:00:00,6/3/2017 7:00,6/3/2017,7:00:00,11/6/2017 1:00,11/6/2017,1:00:00,1/30/2018 9:00,1/30/2018,9:00:00,
2017,333,Long,5/3/2017 5:00,5/3/2017,5:00:00,6/8/2017 17:00,6/8/2017,17:00:00,10/20/2017 15:00,10/20/2017,15:00:00,11/3/2017 13:00,11/3/2017,13:00:00,Remained in the Prospects for the 2017-18 winter
2017,334,Long,5/7/2017 17:00,5/7/2017,17:00:00,6/1/2017 21:00,6/1/2017,21:00:00,10/10/2017 7:00,10/10/2017,7:00:00,12/31/2017 19:00,12/31/2017,19:00:00,
2017,335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 4/4/2017
2017,336,Long,3/17/2017 7:00,3/17/2017,7:00:00,5/28/2017 9:00,5/28/2017,9:00:00,10/30/2017 7:00,10/30/2017,7:00:00,12/27/2017 19:00,12/27/2017,19:00:00,
2017,337,Medium,5/1/2017 3:00,5/1/2017,3:00:00,5/5/2017 19:00,5/5/2017,19:00:00,10/8/2017 7:00,10/8/2017,7:00:00,10/12/2017 5:00,10/12/2017,5:00:00,
2018,108,Long,4/28/2018 1:00,4/28/2018,1:00:00,5/27/2018 15:00,5/27/2018,15:00:00,10/6/2018 5:00,10/6/2018,5:00:00,11/13/2018 1:00,11/13/2018,1:00:00,
2018,112,Long,3/31/2018 13:00,3/31/2018,13:00:00,5/29/2018 21:00,5/29/2018,21:00:00,10/13/2018 11:00,10/13/2018,11:00:00,12/2/2018 9:00,12/2/2018,9:00:00,
2018,119,Long,4/8/2018 20:00,4/8/2018,20:00:00,5/25/2018 16:00,5/25/2018,16:00:00,10/18/2018 6:00,10/18/2018,6:00:00,12/15/2018 20:00,12/15/2018,20:00:00,
2018,123,Medium,5/15/2018 5:00,5/15/2018,5:00:00,5/27/2018 9:00,5/27/2018,9:00:00,9/26/2018 5:00,9/26/2018,5:00:00,10/7/2018 7:00,10/7/2018,7:00:00,
2018,124,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 4/9/2018
2018,129,Long,3/14/2018 5:00,3/14/2018,5:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 5/23/2018
2018,219,Long,5/4/2018 23:00,5/4/2018,23:00:00,5/22/2018 21:00,5/22/2018,21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Died on 6/16/2018
2018,221,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 2/20/2018
2018,225,Long,3/26/2018 23:00,3/26/2018,23:00:00,5/8/2018 21:00,5/8/2018,21:00:00,11/6/2018 5:00,11/6/2018,5:00:00,11/23/2018 17:00,11/23/2018,17:00:00,
2018,227,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 4/29/2018
2018,230,Medium,5/5/2018 19:00,5/5/2018,19:00:00,5/15/2018 5:00,5/15/2018,5:00:00,10/8/2018 9:00,10/8/2018,9:00:00,10/14/2018 3:00,10/14/2018,3:00:00,
2018,233,Long,5/10/2018 3:00,5/10/2018,3:00:00,6/3/2018 23:00,6/3/2018,23:00:00,10/11/2018 7:00,10/11/2018,7:00:00,11/24/2018 9:00,11/24/2018,9:00:00,
2018,235,Long,5/4/2018 1:00,5/4/2018,1:00:00,5/28/2018 21:00,5/28/2018,21:00:00,10/23/2018 7:00,10/23/2018,7:00:00,11/21/2018 19:00,11/21/2018,19:00:00,
2018,239,Medium,4/25/2018 7:00,4/25/2018,7:00:00,5/8/2018 9:00,5/8/2018,9:00:00,10/4/2018 7:00,10/4/2018,7:00:00,10/9/2018 9:00,10/9/2018,9:00:00,
2018,241,Medium,5/10/2018 3:00,5/10/2018,3:00:00,5/17/2018 9:00,5/17/2018,9:00:00,10/6/2018 5:00,10/6/2018,5:00:00,10/9/2018 21:00,10/9/2018,21:00:00,
2018,242,Long,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Recaptured during Dec 2018 captures; no 2018 data on migratory movements
2018,251,Long,4/2/2018 7:00,4/2/2018,7:00:00,5/27/2018 9:00,5/27/2018,9:00:00,10/7/2018 5:00,10/7/2018,5:00:00,10/25/2018 3:00,10/25/2018,3:00:00,
2018,252,Medium,4/27/2018 3:00,4/27/2018,3:00:00,5/6/2018 17:00,5/6/2018,17:00:00,11/30/2018 11:00,11/30/2018,11:00:00,12/8/2018 11:00,12/8/2018,11:00:00,
2018,254,Long,5/2/2018 1:00,5/2/2018,1:00:00,5/24/2018 3:00,5/24/2018,3:00:00,10/12/2018 3:00,10/12/2018,3:00:00,11/30/2018 3:00,11/30/2018,3:00:00,
2018,255,Long,N/A,N/A,N/A,6/15/2018 14:00,6/15/2018,14:00:00,10/1/2018 6:00,10/1/2018,6:00:00,11/22/2018 8:00,11/22/2018,8:00:00,Recaptured Deer 255 on stopover on Steamboat Mtn; spring migration start is unknown
2018,256,Medium,5/16/2018 3:00,5/16/2018,3:00:00,6/9/2018 21:00,6/9/2018,21:00:00,10/5/2018 1:00,10/5/2018,1:00:00,10/13/2018 19:00,10/13/2018,19:00:00,Deer 256 remained on winter range near Lander all of winter 2017-18; she migrated to summer range near Prospect Mtns in spring 2018; she returned to Red Desert winter range in fall of 2018
2018,257,Long,4/8/2018 7:00,4/8/2018,7:00:00,5/23/2018 19:00,5/23/2018,19:00:00,10/24/2018 3:00,10/24/2018,3:00:00,11/30/2018 9:00,11/30/2018,9:00:00,
2018,259,Long,4/11/2018 3:00,4/11/2018,3:00:00,5/22/2018 9:00,5/22/2018,9:00:00,10/23/2018 7:00,10/23/2018,7:00:00,12/10/2018 3:00,12/10/2018,3:00:00,
2018,260,Long,3/11/2018 21:00,3/11/2018,21:00:00,5/17/2018 11:00,5/17/2018,11:00:00,11/7/2018 5:00,11/7/2018,5:00:00,11/28/2018 9:00,11/28/2018,9:00:00,
2018,268,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 1/22/2018
2018,274,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 4/21/2018
2018,276,Medium,5/4/2018 9:00,5/4/2018,9:00:00,5/10/2018 11:00,5/10/2018,11:00:00,9/26/2018 5:00,9/26/2018,5:00:00,9/29/2018 11:00,9/29/2018,11:00:00,
2018,277,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resident year-round; no migration data
2018,278,Long,3/31/2018 15:00,3/31/2018,15:00:00,5/27/2018 17:00,5/27/2018,17:00:00,10/10/2018 7:00,10/10/2018,7:00:00,12/2/2018 11:00,12/2/2018,11:00:00,
2018,279,Long,4/10/2018 5:00,4/10/2018,5:00:00,5/25/2018 19:00,5/25/2018,19:00:00,10/15/2018 7:00,10/15/2018,7:00:00,12/2/2018 5:00,12/2/2018,5:00:00,
2018,280,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resident year-round; no migration data
2018,281,Medium,4/22/2018 1:00,4/22/2018,1:00:00,4/27/2018 17:00,4/27/2018,17:00:00,10/14/2018 7:00,10/14/2018,7:00:00,10/17/2018 9:00,10/17/2018,9:00:00,
2018,282,Long,3/8/2018 23:00,3/8/2018,23:00:00,6/13/2018 17:00,6/13/2018,17:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Died on 9/3/2018
2018,284,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Spent the entire year near Boulder, WY; never returned to the Red Desert"
2018,285,Long,3/31/2018 23:00,3/31/2018,23:00:00,5/31/2018 13:00,5/31/2018,13:00:00,10/8/2018 15:00,10/8/2018,15:00:00,N/A,N/A,N/A,Collar failed on 11/11/2018
2018,286,Long,3/13/2018 23:00,3/13/2018,23:00:00,6/24/2018 19:00,6/24/2018,19:00:00,10/9/2018 5:00,10/9/2018,5:00:00,11/1/2018 9:00,11/1/2018,9:00:00,
2018,287,Long,4/23/2018 5:00,4/23/2018,5:00:00,6/10/2018 11:00,6/10/2018,11:00:00,9/30/2018 13:00,9/30/2018,13:00:00,10/17/2018 19:00,10/17/2018,19:00:00,
2018,290,Long,3/31/2018 11:00,3/31/2018,11:00:00,5/23/2018 7:00,5/23/2018,7:00:00,10/23/2018 5:00,10/23/2018,5:00:00,11/9/2018 13:00,11/9/2018,13:00:00,
2018,291,Long,3/25/2018 23:00,3/25/2018,23:00:00,5/23/2018 15:00,5/23/2018,15:00:00,10/24/2018 9:00,10/24/2018,9:00:00,12/7/2018 17:00,12/7/2018,17:00:00,Spent the winter of 2017-18 in the Prospects but returned to the Red Desert in the fall of 2018 
2018,292,Long,4/23/2018 3:00,4/23/2018,3:00:00,6/10/2018 11:00,6/10/2018,11:00:00,9/30/2018 13:00,9/30/2018,13:00:00,10/17/2018 19:00,10/17/2018,19:00:00,
2018,293,Long,4/22/2018 1:00,4/22/2018,1:00:00,5/20/2018 17:00,5/20/2018,17:00:00,10/11/2018 21:00,10/11/2018,21:00:00,N/A,N/A,N/A,Died on 10/13/2018 during fall migration
2018,294,Medium,5/1/2018 7:00,5/1/2018,7:00:00,5/17/2018 9:00,5/17/2018,9:00:00,10/7/2018 23:00,10/7/2018,23:00:00,10/16/2018 23:00,10/16/2018,23:00:00,
2018,295,Medium,4/22/2018 1:00,4/22/2018,1:00:00,4/27/2018 17:00,4/27/2018,17:00:00,10/20/2018 7:00,10/20/2018,7:00:00,10/23/2018 11:00,10/23/2018,11:00:00,
2018,296,Medium,4/28/2018 1:00,4/28/2018,1:00:00,5/11/2018 19:00,5/11/2018,19:00:00,11/5/2018 5:00,11/5/2018,5:00:00,11/8/2018 19:00,11/8/2018,19:00:00,
2018,297,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 1/28/2018
2018,298,Long,4/26/2018 5:00,4/26/2018,5:00:00,6/9/2018 9:00,6/9/2018,9:00:00,10/19/2018 7:00,10/19/2018,7:00:00,12/15/2018 17:00,12/15/2018,17:00:00,
2018,299,Long,3/17/2018 6:00,3/17/2018,6:00:00,6/2/2018 2:00,6/2/2018,2:00:00,10/23/2018 2:00,10/23/2018,2:00:00,12/6/2018 12:00,12/6/2018,12:00:00,
2018,300,Long,3/10/2018 7:00,3/10/2018,7:00:00,6/5/2018 9:00,6/5/2018,9:00:00,10/4/2018 21:00,10/4/2018,21:00:00,11/28/2018 3:00,11/28/2018,3:00:00,Has three long stopovers
2018,302,Long,5/9/2018 1:00,5/9/2018,1:00:00,6/10/2018 9:00,6/10/2018,6/10/2018 9:00,10/25/2018 5:00,10/25/2018,5:00:00,11/22/2018 5:00,11/22/2018,5:00:00,
2018,303,Long,4/25/2018 17:00,4/25/2018,17:00:00,6/17/2018 17:00,6/17/2018,17:00:00,10/24/2018 21:00,10/24/2018,21:00:00,2/22/2019 21:00,2/22/2019,21:00:00,Migrated in late January 2019
2018,304,Long,3/23/2018 3:00,3/23/2018,3:00:00,5/12/2018 23:00,5/12/2018,23:00:00,10/14/2018 17:00,10/14/2018,17:00:00,10/27/2018 3:00,10/27/2018,3:00:00,
2018,305,Long,3/25/2018 3:00,3/25/2018,3:00:00,6/4/2018 23:00,6/4/2018,23:00:00,10/8/2018 15:00,10/8/2018,15:00:00,10/22/2018 19:00,10/22/2018,19:00:00,Spends the summer on two different summer ranges
2018,306,Long,3/26/2018 2:00,3/26/2018,2:00:00,5/10/2018 18:00,5/10/2018,18:00:00,10/8/2018 14:00,10/8/2018,14:00:00,11/30/2018 0:00,11/30/2018,0:00:00,Spent the winter of 2017-18 in the Prospects but returned to the Red Desert in the fall of 2018 
2018,308,Long,3/26/2018 21:00,3/26/2018,21:00:00,5/19/2018 15:00,5/19/2018,15:00:00,10/6/2018 7:00,10/6/2018,7:00:00,10/28/2018 5:00,10/28/2018,5:00:00,
2018,309,Long,3/9/2018 19:00,3/9/2018,19:00:00,5/23/2018 1:00,5/23/2018,1:00:00,10/10/2018 9:00,10/10/2018,9:00:00,11/16/2018 5:00,11/16/2018,5:00:00,
2018,310,Medium,4/27/2018 4:00,4/27/2018,4:00:00,5/7/2018 10:00,5/7/2018,10:00:00,11/30/2018 8:00,11/30/2018,8:00:00,12/12/2018 16:00,12/12/2018,16:00:00,
2018,311,Medium,5/4/2018 5:00,5/4/2018,5:00:00,5/10/2018 23:00,5/10/2018,23:00:00,9/26/2018 5:00,9/26/2018,5:00:00,9/29/2018 13:00,9/29/2018,13:00:00,
2018,312,Medium,5/7/2018 5:00,5/7/2018,5:00:00,5/15/2018 3:00,5/15/2018,3:00:00,10/2/2018 21:00,10/2/2018,21:00:00,10/5/2018 23:00,10/5/2018,23:00:00,
2018,313,Medium,3/12/2018 19:00,3/12/2018,19:00:00,6/8/2018 19:00,6/8/2018,19:00:00,10/2/2018 19:00,10/2/2018,19:00:00,11/30/2018 19:00,11/30/2018,19:00:00,
2018,314,Long,3/10/2018 1:00,3/10/2018,1:00:00,6/24/2018 1:00,6/24/2018,1:00:00,10/5/2018 13:00,10/5/2018,13:00:00,11/14/2018 13:00,11/14/2018,13:00:00,
2018,315,Medium,5/5/2018 21:00,5/5/2018,21:00:00,5/10/2018 7:00,5/10/2018,7:00:00,10/23/2018 3:00,10/23/2018,3:00:00,11/4/2018 23:00,11/4/2018,23:00:00,
2018,316,Long,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 1/8/2018
2018,317,Long,3/22/2018 7:00,3/22/2018,7:00:00,5/4/2018 9:00,5/4/2018,9:00:00,10/14/2018 7:00,10/14/2018,7:00:00,1/10/2019 19:00,1/10/2019,19:00:00,Spent the winter of 2017-18 and 2018-19 in the Prospects 
2018,318,Medium,5/10/2018 1:00,5/10/2018,1:00:00,5/12/2018 21:00,5/12/2018,21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Died on 7/17/2018
2018,319,Long,4/10/2018 7:00,4/10/2018,7:00:00,5/27/2018 19:00,5/27/2018,19:00:00,10/1/2018 7:00,10/1/2018,7:00:00,11/29/2018 19:00,11/29/2018,19:00:00,
2018,321,Long,3/20/2018 5:00,3/20/2018,5:00:00,5/6/2018 21:00,5/6/2018,21:00:00,10/4/2018 9:00,10/4/2018,9:00:00,N/A,N/A,N/A,Spent the winter of 2017-18 in the Prospects; was on stopover in Prospects until late January 2019; died during fall migration 2019
2018,323,Long,3/11/2018 17:00,3/11/2018,17:00:00,5/21/2018 9:00,5/21/2018,9:00:00,11/20/2018 5:00,11/20/2018,5:00:00,1/6/2019 9:00,1/6/2019,9:00:00,
2018,326,Medium,4/26/2018 7:00,4/26/2018,7:00:00,5/4/2018 7:00,5/4/2018,7:00:00,9/26/2018 11:00,9/26/2018,11:00:00,10/1/2018 11:00,10/1/2018,11:00:00,
2018,327,Long,3/9/2018 17:00,3/9/2018,17:00:00,6/24/2018 15:00,6/24/2018,15:00:00,10/3/2018 3:00,10/3/2018,3:00:00,11/22/2018 15:00,11/22/2018,15:00:00,
2018,328,Medium,4/20/2018 5:00,4/20/2018,5:00:00,4/30/2018 11:00,4/30/2018,11:00:00,11/13/2018 5:00,11/13/2018,5:00:00,11/19/2018 11:00,11/19/2018,11:00:00,
2018,329,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spent all year on White Mountain; no migration data
2018,330,Long,4/26/2018 13:00,4/26/2018,13:00:00,6/17/2018 3:00,6/17/2018,3:00:00,10/23/2018 3:00,10/23/2018,3:00:00,12/9/2018 3:00,12/9/2018,3:00:00,
2018,331,Long,4/1/2018 1:00,4/1/2018,1:00:00,5/7/2018 7:00,5/7/2018,7:00:00,10/6/2018 17:00,10/6/2018,17:00:00,10/23/2018 19:00,10/23/2018,19:00:00,
2018,332,Long,2/14/2018 1:00,2/14/2018,1:00:00,6/6/2018 9:00,6/6/2018,9:00:00,11/10/2018 7:00,11/10/2018,7:00:00,12/11/2018 11:00,12/11/2018,11:00:00,
2018,333,Long,3/13/2018 1:00,3/13/2018,1:00:00,5/29/2018 13:00,5/29/2018,13:00:00,10/28/2018 1:00,10/28/2018,1:00:00,N/A,N/A,N/A,Spent the winter of 2017-18 in the Prospects; but migrated back to the Red Desert in late January 2019 (collar failed 2/10/2020 right as she arrived to her winter range)
2018,334,Long,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 3/30/2018
2018,336,Long,3/23/2018 1:00,3/23/2018,1:00:00,5/28/2018 3:00,5/28/2018,3:00:00,10/12/2018 13:00,10/12/2018,13:00:00,N/A,N/A,N/A,Collar failed on 11/21/2018 while Deer 336 was migrating back to the Red Desert; recaptured on winter range in Dec 2018
2018,337,Medium,5/5/2018 3:00,5/5/2018,3:00:00,5/9/2018 1:00,5/9/2018,1:00:00,10/8/2018 15:00,10/8/2018,15:00:00,10/13/2018 19:00,10/13/2018,19:00:00,
2018,340,Long,5/7/2018 23:00,5/7/2018,23:00:00,5/28/2018 13:00,5/28/2018,13:00:00,10/8/2018 5:00,10/8/2018,5:00:00,11/2/2018 15:00,11/2/2018,15:00:00,
2018,341,Medium,4/29/2018 13:00,4/29/2018,13:00:00,5/24/2018 19:00,5/24/2018,19:00:00,10/3/2018 5:00,10/3/2018,5:00:00,10/8/2018 19:00,10/8/2018,19:00:00,
2018,343,Medium,4/22/2018 7:00,4/22/2018,7:00:00,4/30/2018 9:00,4/30/2018,9:00:00,10/29/2018 5:00,10/29/2018,5:00:00,11/2/2018 19:00,11/2/2018,19:00:00,
2018,344,Long,4/10/2018 15:00,4/10/2018,15:00:00,6/4/2018 11:00,6/4/2018,11:00:00,10/26/2018 7:00,10/26/2018,7:00:00,11/18/2018 9:00,11/18/2018,9:00:00,
2018,345,Long,4/26/2018 7:00,4/26/2018,7:00:00,5/22/2018 13:00,5/22/2018,13:00:00,10/5/2018 17:00,10/5/2018,17:00:00,10/26/2018 7:00,10/26/2018,7:00:00,
2018,346,Medium,5/9/2018 17:00,5/9/2018,17:00:00,5/17/2018 17:00,5/17/2018,17:00:00,9/30/2018 5:00,9/30/2018,5:00:00,10/6/2018 17:00,10/6/2018,17:00:00,
2018,347,Medium,4/22/2018 1:00,4/22/2018,1:00:00,4/29/2018 9:00,4/29/2018,9:00:00,10/9/2018 23:00,10/9/2018,23:00:00,10/14/2018 21:00,10/14/2018,21:00:00,
2018,349,Medium,3/12/2018 17:00,3/12/2018,17:00:00,5/15/2018 19:00,5/15/2018,19:00:00,11/3/2018 3:00,11/3/2018,3:00:00,11/7/2018 19:00,11/7/2018,19:00:00,Initially migrated to Boulder and then turned around and spent the summer in the Prospects
2018,351,Medium,4/22/2018 2:00,4/22/2018,2:00:00,4/28/2018 10:00,4/28/2018,10:00:00,10/9/2018 8:00,10/9/2018,8:00:00,10/12/2018 20:00,10/12/2018,20:00:00,
2018,352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 1/29/2018
2018,353,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 2/17/2018
2018,354,Medium,4/25/2018 17:00,4/25/2018,17:00:00,5/7/2018 3:00,5/7/2018,3:00:00,10/14/2018 9:00,10/14/2018,9:00:00,10/18/2018 23:00,10/18/2018,23:00:00,
2018,355,Medium,3/31/2018 3:00,3/31/2018,3:00:00,4/23/2018 5:00,4/23/2018,5:00:00,10/5/2018 3:00,10/5/2018,3:00:00,10/13/2018 1:00,10/13/2018,1:00:00,
2018,356,Medium,3/13/2018 3:00,3/13/2018,3:00:00,5/13/2018 21:00,5/13/2018,21:00:00,11/4/2018 7:00,11/4/2018,7:00:00,11/16/2018 1:00,11/16/2018,1:00:00,
2018,357,Short,4/29/2018 17:00,4/29/2018,17:00:00,4/30/2018 13:00,4/30/2018,13:00:00,10/6/2018 7:00,10/6/2018,7:00:00,10/11/2018 7:00,10/11/2018,7:00:00,Goes back and forth between a stopover on Table Mountain during spring migration
2018,358,Long,3/13/2018 1:00,3/13/2018,1:00:00,5/12/2018 21:00,5/12/2018,21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 7/11/2018; no fall migration data
2018,359,Long,3/13/2018 1:00,3/13/2018,1:00:00,5/21/2018 11:00,5/21/2018,11:00:00,10/3/2018 19:00,10/3/2018,19:00:00,10/21/2018 7:00,10/21/2018,7:00:00,
2018,360,Medium,5/1/2018 5:00,5/1/2018,5:00:00,5/5/2018 3:00,5/5/2018,3:00:00,10/6/2018 19:00,10/6/2018,19:00:00,10/10/2018 5:00,10/10/2018,5:00:00,
2018,361,Medium,5/1/2018 4:00,5/1/2018,4:00:00,5/5/2018 4:00,5/5/2018,4:00:00,10/6/2018 18:00,10/6/2018,18:00:00,10/10/2018 4:00,10/10/2018,4:00:00,
2018,362,Medium,5/4/2018 11:00,5/4/2018,11:00:00,5/15/2018 11:00,5/15/2018,11:00:00,9/26/2018 7:00,9/26/2018,7:00:00,9/29/2018 11:00,9/29/2018,11:00:00,
2018,363,Medium,4/28/2018 3:00,4/28/2018,3:00:00,5/4/2018 11:00,5/4/2018,11:00:00,10/5/2018 13:00,10/5/2018,13:00:00,10/9/2018 9:00,10/9/2018,9:00:00,
2018,364,Medium,4/27/2018 3:00,4/27/2018,3:00:00,5/16/2018 17:00,5/16/2018,17:00:00,10/3/2018 17:00,10/3/2018,17:00:00,11/15/2018 17:00,11/15/2018,17:00:00,
2018,365,Medium,5/5/2018 20:00,5/5/2018,20:00:00,5/23/2018 8:00,5/23/2018,8:00:00,10/9/2018 12:00,10/9/2018,12:00:00,10/12/2018 18:00,10/12/2018,18:00:00,Has two summer ranges in the southern Wind River range
2018,366,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 2/17/2018
2018,367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 4/27/2018
2018,369,Long,4/15/2018 5:00,4/15/2018,5:00:00,5/10/2018 11:00,5/10/2018,11:00:00,10/23/2018 5:00,10/23/2018,5:00:00,11/25/2018 7:00,11/25/2018,7:00:00,
